,DomainLength,IsDomainIP,NoOfSubDomain,HasObfuscation,ObfuscationRatio,CharContinuationRate,TLDLegitimateProb,URLCharProb,HasPasswordField,IsHTTPS,HasExternalFormSubmit,DomainTitleMatchScore,HasPopup,NoOfiFrame,Bank,Pay,Crypto,URLTitleMatchScore,Nivel3_Alta,Nivel2_Media,Nivel1_Baja,IsPhishing
0,19,0,1,0,0.0,1.0,0.5229071,0.064599296,1,1,1,100.0,0,0,1,1,1,100.0,1,0,0,1
1,18,0,1,0,0.0,1.0,0.5229071,0.070239275,0,1,1,100.0,0,2,1,0,0,100.0,1,0,0,1
2,20,0,2,0,0.0,0.538461538,0.0141483,0.055437841,0,1,1,0.0,0,0,0,0,0,0.0,1,0,1,1
3,26,0,3,0,0.0,0.684210526,0.0100856,0.056433177,0,1,1,0.0,0,5,0,1,1,0.0,1,1,1,1
4,13,1,2,0,0.0,0.444444444,0.0,0.001223339,0,0,0,0.0,0,0,0,0,0,0.0,1,0,1,1
5,13,0,1,0,0.0,1.0,0.5229071,0.054583442,1,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
6,25,0,2,0,0.0,0.5,0.0180132,0.056989683,1,0,0,0.0,0,0,0,0,0,0.0,1,0,1,1
7,19,0,1,0,0.0,1.0,0.0141483,0.064760075,0,1,1,100.0,1,0,0,1,0,100.0,1,0,1,1
8,12,0,1,0,0.0,1.0,0.0014653,0.053423702,0,1,1,100.0,0,0,0,0,0,100.0,1,0,1,1
9,18,0,2,0,0.0,0.818181818,0.028555,0.055642237,1,1,1,0.0,0,1,0,1,0,0.0,1,0,1,1
10,17,0,2,0,0.0,0.7,0.0019933,0.06228813,0,1,1,0.0,0,1,0,1,0,0.0,1,0,1,1
11,26,0,1,0,0.0,1.0,0.5229071,0.062210873,0,1,1,100.0,0,2,0,0,0,100.0,1,1,0,1
12,22,0,1,0,0.0,1.0,0.0799628,0.056548007,0,1,1,100.0,0,3,0,0,0,100.0,1,0,1,1
13,23,0,3,0,0.0,0.6875,0.0045585,0.050323538,0,1,1,0.0,1,0,0,1,0,0.0,1,0,1,1
14,11,0,1,0,0.0,1.0,0.0326503,0.039319492,0,1,1,75.0,0,0,0,0,0,75.0,1,0,1,1
15,21,0,1,0,0.0,1.0,0.0799628,0.057650134,0,1,1,100.0,0,8,0,0,0,100.0,1,0,1,1
16,17,0,1,0,0.0,1.0,0.5229071,0.049616455,1,1,1,100.0,0,1,0,1,0,100.0,1,0,0,1
17,25,0,1,0,0.0,1.0,0.5229071,0.066187731,0,1,1,100.0,1,2,1,0,0,100.0,1,0,1,1
18,13,1,2,0,0.0,0.4,0.0,0.042737399,0,1,0,0.0,0,0,0,0,0,0.617283951,1,0,1,1
19,20,0,1,0,0.0,1.0,0.0326503,0.059291061,0,1,1,100.0,1,2,1,1,1,100.0,1,0,1,1
20,23,0,1,0,0.0,1.0,0.5229071,0.059040025,0,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
21,20,0,1,0,0.0,1.0,0.0799628,0.066565003,0,1,1,100.0,0,1,0,0,0,100.0,1,0,1,1
