id,clip_count
45001,69
45002,43
45003,50
45004,39
45005,20
45006,63
45007,62
45008,68
45009,64
45010,13
45011,5
45012,31
45013,60
45014,16
45015,2
45016,6
45017,50
45018,11
45019,61
45020,57
45021,54
45022,43
45023,51
45024,57
45025,57
45026,11
45027,39
45028,61
45029,73
45030,32
45031,66
45032,66
45033,4
45034,6
45035,2
45036,30
45037,2
45038,13
45039,29
45040,25
45041,44
45042,60
45043,48
45044,52
45045,65
45046,59
45047,67
45048,33
45049,54
45050,70
45051,69
45052,12
45053,58
45054,43
45055,42
45056,39
45057,77
45058,66
45059,40
45060,17
45061,48
45062,66
45063,10
45064,49
45065,33
45066,5
45067,20
45068,27
45069,34
45070,53
45071,18
45072,40
45073,34
45074,58
45075,69
45076,5
45077,22
45078,69
45079,11
45080,40
45081,71
45082,20
45083,8
45084,37
45085,6
45086,13
45087,46
45088,4
45089,16
45090,4
45091,18
45092,59
45093,20
45094,38
45095,19
45096,57
45097,23
45098,37
45099,60
45100,40
45101,1
45102,63
45103,6
45104,66
45105,41
45106,56
45107,42
45108,29
45109,23
45110,62
45111,28
45112,39
45113,22
45114,68
45115,25
45116,55
45117,65
45118,31
45119,46
45120,6
45121,23
45122,18
45123,62
45124,62
45125,18
45126,15
45127,73
45128,15
45129,12
45130,17
45131,13
45132,20
45133,65
45134,70
45135,15
45136,2
45137,5
45138,10
45139,3
45140,37
45141,60
45142,63
45143,12
45144,71
45145,72
45146,66
45147,32
45148,57
45149,56
45150,21
45151,57
45152,31
45153,40
45154,19
45155,37
45156,36
45157,58
45158,29
45159,47
45160,41
45161,73
45162,41
45163,44
45164,71
45165,2
45166,33
45167,69
45168,45
45169,67
45170,55
45171,44
45172,8
45173,43
45174,48
45175,1
45176,26
45177,17
45178,4
45179,39
45180,6
45181,16
45182,49
45183,28
45184,8
45185,8
45186,55
45187,1
45188,61
45189,50
45190,45
45191,71
45192,70
45193,36
45194,56
45195,36
45196,66
45197,69
45198,3
45199,58
45200,54
45201,28
45202,9
45203,7
45204,43
45205,50
45206,5
45207,28
45208,21
45209,10
45210,6
45211,62
45212,22
45213,64
45214,73
45215,19
45216,30
45217,56
45218,39
45219,28
45220,72
45221,1
45222,22
45223,29
45224,19
45225,65
45226,70
45227,21
45228,70
45229,3
45230,66
45231,40
45232,7
45233,27
45234,14
45235,63
45236,30
45237,30
45238,53
45239,31
45240,11
45241,1
45242,70
45243,28
45244,62
45245,55
45246,45
45247,67
45248,31
45249,41
45250,23
45251,17
45252,24
45253,24
45254,31
45255,36
45256,73
45257,67
45258,11
45259,19
45260,69
45261,31
45262,24
45263,7
45264,31
45265,51
45266,10
45267,76
45268,32
45269,14
45270,46
45271,30
45272,18
45273,69
45274,25
45275,19
45276,69
45277,75
45278,58
45279,29
45280,53
45281,4
45282,32
45283,51
45284,60
45285,12
45286,6
45287,8
45288,30
45289,22
45290,43
45291,55
45292,11
45293,46
45294,1
45295,8
45296,24
45297,34
45298,50
45299,40
45300,69
45301,5
45302,12
45303,36
45304,11
45305,47
45306,62
45307,4
45308,73
45309,38
45310,17
45311,7
45312,24
45313,67
45314,41
45315,65
45316,17
45317,39
45318,66
45319,65
45320,34
45321,65
45322,13
45323,59
45324,47
45325,33
45326,47
45327,40
45328,66
45329,73
45330,44
45331,54
45332,51
45333,35
45334,49
45335,32
45336,29
45337,15
45338,64
45339,9
45340,33
45341,37
45342,5
45343,34
45344,17
45345,2
45346,22
45347,16
45348,4
45349,72
45350,12
45351,18
45352,63
45353,14
45354,16
45355,59
45356,46
45357,34
45358,45
45359,22
45360,35
45361,24
45362,53
45363,60
45364,72
45365,49
45366,17
45367,71
45368,38
45369,30
45370,14
45371,44
45372,32
45373,50
45374,33
45375,6
45376,2
45377,20
45378,61
45379,38
45380,40
45381,4
45382,73
45383,34
45384,29
45385,11
45386,29
45387,41
45388,46
45389,4
45390,1
45391,9
45392,42
45393,65
45394,49
45395,21
45396,52
45397,19
45398,38
45399,62
45400,63
45401,25
45402,30
45403,1
45404,14
45405,54
45406,20
45407,74
45408,51
45409,42
45410,8
45411,6
45412,51
45413,14
45414,2
45415,65
45416,55
45417,18
45418,65
45419,65
45420,35
45421,72
45422,36
45423,55
45424,74
45425,3
45426,56
45427,72
45428,59
45429,51
45430,6
45431,7
45432,61
45433,17
45434,1
45435,27
45436,46
45437,37
45438,58
45439,22
45440,45
45441,35
45442,64
45443,35
45444,53
45445,59
45446,70
45447,20
45448,37
45449,47
45450,73
45451,10
45452,2
45453,1
45454,2
45455,28
45456,40
45457,50
45458,34
45459,58
45460,8
45461,21
45462,11
45463,20
45464,53
45465,47
45466,11
45467,31
45468,20
45469,9
