id,clip_count
45001,69
45002,42
45003,47
45004,38
45005,17
45006,65
45007,62
45008,70
45009,64
45010,12
45011,4
45012,31
45013,61
45014,14
45015,2
45016,6
45017,49
45018,10
45019,60
45020,59
45021,55
45022,41
45023,50
45024,58
45025,58
45026,10
45027,38
45028,61
45029,74
45030,29
45031,66
45032,65
45033,3
45034,6
45035,1
45036,29
45037,2
45038,12
45039,29
45040,24
45041,43
45042,60
45043,46
45044,50
45045,65
45046,60
45047,66
45048,32
45049,52
45050,72
45051,69
45052,10
45053,59
45054,43
45055,40
45056,39
45057,75
45058,69
45059,41
45060,15
45061,47
45062,65
45063,9
45064,51
45065,33
45066,4
45067,18
45068,26
45069,34
45070,54
45071,17
45072,39
45073,32
45074,58
45075,69
45076,4
45077,21
45078,67
45079,9
45080,38
45081,69
45082,18
45083,7
45084,36
45085,5
45086,12
45087,47
45088,4
45089,15
45090,4
45091,18
45092,57
45093,19
45094,38
45095,18
45096,59
45097,23
45098,35
45099,59
45100,39
45101,0
45102,65
45103,5
45104,65
45105,39
45106,56
45107,40
45108,28
45109,22
45110,62
45111,26
45112,39
45113,21
45114,68
45115,24
45116,54
45117,67
45118,29
45119,44
45120,5
45121,23
45122,17
45123,62
45124,61
45125,17
45126,15
45127,73
45128,13
45129,10
45130,15
45131,11
45132,18
45133,66
45134,71
45135,13
45136,1
45137,5
45138,9
45139,2
45140,37
45141,58
45142,64
45143,11
45144,74
45145,72
45146,65
45147,31
45148,58
45149,54
45150,19
45151,61
45152,30
45153,39
45154,17
45155,37
45156,34
45157,59
45158,26
45159,48
45160,42
45161,72
45162,41
45163,41
45164,71
45165,1
45166,34
45167,71
45168,44
45169,68
45170,56
45171,41
45172,7
45173,41
45174,46
45175,0
45176,25
45177,15
45178,4
45179,37
45180,6
45181,15
45182,50
45183,26
45184,7
45185,7
45186,56
45187,0
45188,63
45189,50
45190,43
45191,70
45192,70
45193,35
45194,58
45195,36
45196,65
45197,68
45198,3
45199,57
45200,56
45201,28
45202,8
45203,7
45204,42
45205,50
45206,5
45207,27
45208,21
45209,9
45210,4
45211,62
45212,21
45213,65
45214,72
45215,18
45216,30
45217,58
45218,40
45219,27
45220,72
45221,0
45222,22
45223,29
45224,16
45225,67
45226,69
45227,20
45228,73
45229,3
45230,66
45231,39
45232,7
45233,26
45234,12
45235,65
45236,27
45237,29
45238,55
45239,30
45240,9
45241,0
45242,69
45243,27
45244,62
45245,56
45246,42
45247,67
45248,30
45249,38
45250,22
45251,15
45252,23
45253,20
45254,29
45255,36
45256,73
45257,70
45258,9
45259,17
45260,70
45261,30
45262,21
45263,6
45264,30
45265,50
45266,8
45267,76
45268,30
45269,12
45270,46
45271,29
45272,17
45273,69
45274,24
45275,17
45276,71
45277,76
45278,59
45279,28
45280,52
45281,3
45282,29
45283,51
45284,59
45285,11
45286,5
45287,7
45288,30
45289,20
45290,42
45291,54
45292,9
45293,44
45294,0
45295,7
45296,23
45297,32
45298,51
45299,37
45300,68
45301,4
45302,10
45303,37
45304,9
45305,47
45306,65
45307,3
45308,73
45309,37
45310,17
45311,7
45312,22
45313,67
45314,40
45315,64
45316,16
45317,40
45318,65
45319,67
45320,33
45321,63
45322,12
45323,59
45324,49
45325,31
45326,48
45327,40
45328,67
45329,73
45330,44
45331,55
45332,49
45333,33
45334,49
45335,32
45336,30
45337,13
45338,65
45339,10
45340,33
45341,36
45342,4
45343,33
45344,14
45345,1
45346,21
45347,14
45348,4
45349,72
45350,11
45351,17
45352,65
45353,12
45354,14
45355,58
45356,45
45357,34
45358,46
45359,20
45360,33
45361,23
45362,55
45363,63
45364,73
45365,52
45366,15
45367,71
45368,36
45369,28
45370,11
45371,45
45372,29
45373,51
45374,32
45375,6
45376,1
45377,19
45378,57
45379,37
45380,40
45381,3
45382,76
45383,33
45384,29
45385,10
45386,28
45387,37
45388,50
45389,4
45390,0
45391,9
45392,42
45393,67
45394,49
45395,19
45396,54
45397,17
45398,38
45399,63
45400,68
45401,23
45402,28
45403,1
45404,13
45405,54
45406,17
45407,73
45408,50
45409,43
45410,7
45411,5
45412,52
45413,14
45414,1
45415,64
45416,56
45417,15
45418,64
45419,64
45420,34
45421,73
45422,37
45423,58
45424,75
45425,2
45426,54
45427,73
45428,61
45429,53
45430,6
45431,6
45432,60
45433,15
45434,0
45435,26
45436,47
45437,38
45438,59
45439,19
45440,44
45441,33
45442,66
45443,33
45444,52
45445,60
45446,68
45447,19
45448,35
45449,45
45450,71
45451,9
45452,1
45453,0
45454,2
45455,30
45456,39
45457,50
45458,34
45459,59
45460,7
45461,19
45462,10
45463,19
45464,52
45465,47
45466,10
45467,30
45468,19
45469,7
45470,51
45471,30
45472,71
45473,62
45474,6
45475,14
45476,49
45477,35
45478,62
45479,12
45480,49
45481,3
45482,63
45483,44
45484,70
45485,67
45486,6
45487,57
45488,20
45489,9
45490,64
45491,60
45492,2
45493,68
45494,2
45495,55
45496,7
45497,2
45498,47
45499,2
45500,46
45501,17
45502,51
45503,38
45504,17
45505,69
45506,48
45507,35
45508,16
45509,46
45510,57
45511,21
45512,38
45513,5
45514,47
45515,42
45516,56
45517,65
45518,58
45519,21
45520,33
45521,70
45522,9
45523,8
45524,39
45525,28
45526,9
45527,47
45528,56
45529,24
45530,23
45531,55
45532,68
45533,27
45534,56
45535,46
45536,46
45537,48
45538,8
45539,9
45540,29
45541,61
45542,77
45543,9
45544,16
45545,7
45546,46
45547,31
45548,16
45549,6
45550,27
45551,9
45552,73
45553,8
45554,35
45555,27
45556,21
45557,22
45558,9
45559,19
45560,51
45561,65
45562,29
45563,17
45564,67
45565,46
45566,0
45567,45
45568,31
45569,55
45570,5
45571,68
45572,6
45573,70
45574,10
45575,50
45576,31
45577,40
45578,70
45579,37
45580,70
45581,45
45582,20
45583,18
45584,25
45585,33
45586,50
45587,62
45588,2
45589,32
45590,63
45591,72
45592,61
45593,29
45594,29
45595,43
45596,19
45597,59
45598,58
45599,63
45600,25
45601,22
45602,43
45603,22
45604,39
45605,51
45606,63
45607,50
45608,6
45609,24
45610,7
45611,22
45612,11
45613,66
45614,1
45615,28
45616,13
45617,16
45618,7
45619,42
45620,22
45621,29
45622,54
45623,68
45624,60
45625,55
45626,9
45627,29
45628,7
45629,53
45630,40
45631,6
45632,0
45633,15
45634,31
45635,57
45636,39
45637,62
45638,28
45639,29
45640,37
45641,49
45642,22
45643,34
45644,1
45645,56
45646,28
45647,50
45648,16
45649,61
45650,15
45651,68
45652,48
45653,28
45654,20
45655,14
45656,69
45657,73
45658,6
45659,30
45660,42
45661,59
45662,41
45663,26
45664,12
45665,36
45666,28
45667,71
45668,29
45669,5
45670,11
45671,14
45672,56
45673,64
45674,25
45675,3
45676,48
45677,24
45678,75
45679,48
45680,39
45681,15
45682,51
45683,66
45684,25
45685,75
45686,22
45687,29
45688,18
45689,50
45690,65
45691,56
45692,57
45693,27
45694,50
45695,0
45696,53
45697,39
45698,29
45699,61
45700,6
45701,31
45702,22
45703,11
45704,71
45705,48
45706,35
45707,69
45708,9
45709,44
45710,62
45711,39
45712,10
45713,53
45714,38
45715,62
45716,35
45717,63
45718,7
45719,68
45720,45
45721,41
45722,19
45723,28
45724,30
45725,27
45726,2
45727,49
45728,69
45729,53
45730,53
45731,42
45732,48
45733,55
45734,41
45735,0
45736,50
45737,36
45738,30
45739,66
45740,34
45741,62
45742,46
45743,50
45744,32
45745,17
45746,15
45747,73
45748,1
45749,18
45750,25
45751,54
45752,66
45753,72
45754,67
45755,34
45756,16
45757,24
45758,59
45759,6
45760,26
45761,2
45762,29
45763,2
45764,51
45765,67
45766,0
45767,34
45768,10
45769,67
45770,39
45771,3
45772,76
45773,4
45774,51
45775,4
45776,3
45777,57
45778,60
45779,64
45780,8
45781,70
45782,27
45783,45
45784,50
45785,70
45786,28
45787,58
45788,52
45789,44
45790,66
45791,16
45792,20
45793,73
45794,62
45795,63
45796,71
45797,65
45798,13
45799,39
45800,65
45801,66
45802,2
45803,5
45804,67
45805,36
45806,78
45807,3
45808,22
45809,64
45810,24
45811,76
45812,36
45813,52
45814,59
45815,61
45816,27
45817,38
45818,47
45819,33
45820,35
45821,55
45822,5
45823,52
45824,38
45825,8
45826,24
45827,10
45828,37
45829,68
45830,62
45831,70
45832,7
45833,6
45834,17
45835,31
45836,56
