id,clip_count
45001,39
45002,33
45003,35
45004,33
45005,33
45006,35
45007,39
45008,34
45009,39
45010,34
45011,34
45012,31
45013,38
45014,33
45015,40
45016,35
45017,37
45018,36
45019,34
45020,40
45021,36
45022,38
45023,31
45024,33
45025,34
45026,40
45027,34
45028,34
45029,29
45030,39
45031,33
45032,39
45033,32
45034,36
45035,34
45036,39
45037,30
45038,31
45039,37
45040,39
45041,46
45042,37
45043,41
45044,39
45045,31
45046,31
45047,38
45048,34
45049,39
45050,46
45051,30
45052,35
45053,33
45054,38
45055,41
45056,38
45057,35
45058,40
45059,36
45060,36
45061,39
45062,36
45063,36
45064,37
45065,35
45066,37
45067,36
45068,33
45069,30
45070,37
45071,35
45072,41
45073,34
45074,47
45075,39
45076,41
45077,37
45078,39
45079,41
45080,36
45081,44
45082,33
45083,41
45084,42
45085,43
45086,32
45087,36
45088,32
45089,35
45090,32
45091,42
45092,37
45093,35
45094,37
45095,36
45096,39
45097,41
45098,39
45099,34
45100,37
45101,34
45102,30
45103,37
45104,36
45105,30
45106,38
45107,34
45108,32
45109,30
45110,33
45111,37
45112,34
45113,39
45114,34
45115,35
45116,34
45117,34
45118,39
45119,29
45120,40
45121,34
45122,40
45123,39
45124,38
45125,38
45126,35
45127,37
45128,43
45129,40
45130,35
45131,40
45132,43
45133,46
45134,36
45135,41
45136,40
45137,43
45138,37
45139,40
45140,41
45141,35
45142,35
45143,45
45144,36
45145,38
45146,39
45147,37
45148,38
45149,38
45150,38
45151,41
45152,39
45153,37
45154,35
45155,34
45156,27
45157,36
45158,34
45159,38
45160,37
45161,38
45162,36
45163,38
45164,41
45165,35
45166,27
45167,36
45168,36
45169,35
45170,34
45171,42
45172,34
45173,39
45174,32
45175,35
45176,32
45177,33
45178,32
45179,35
45180,42
45181,34
45182,42
45183,40
45184,31
45185,35
45186,37
45187,30
45188,33
45189,27
45190,35
45191,38
45192,33
45193,33
45194,34
45195,34
45196,38
45197,33
45198,34
45199,33
45200,33
45201,39
45202,40
45203,46
45204,33
45205,31
45206,34
45207,33
45208,33
45209,40
45210,39
45211,33
45212,32
45213,38
45214,32
45215,30
45216,37
45217,33
45218,31
45219,42
45220,39
45221,31
45222,35
45223,39
45224,37
45225,38
45226,44
45227,37
45228,41
45229,39
45230,41
45231,36
45232,29
45233,43
45234,36
45235,39
45236,37
45237,28
45238,35
45239,38
45240,35
45241,38
45242,40
45243,38
45244,39
45245,32
45246,29
45247,31
45248,39
45249,32
45250,30
45251,37
45252,38
45253,36
45254,38
45255,35
45256,30
45257,30
45258,38
45259,33
45260,36
45261,34
45262,32
45263,32
45264,35
45265,37
45266,30
45267,38
45268,34
45269,34
45270,28
45271,33
45272,44
45273,36
45274,34
45275,38
45276,34
45277,47
45278,38
45279,36
45280,27
45281,40
45282,43
45283,34
45284,40
45285,36
45286,44
45287,38
45288,24
45289,31
45290,37
45291,40
45292,40
45293,36
45294,29
45295,37
45296,33
45297,32
45298,37
45299,35
45300,35
45301,38
45302,41
45303,32
45304,33
45305,36
45306,46
45307,37
45308,35
45309,35
45310,32
45311,45
45312,38
45313,34
45314,38
45315,45
45316,36
45317,34
45318,37
45319,36
45320,34
45321,40
45322,41
45323,44
45324,38
45325,44
45326,38
45327,30
45328,32
45329,41
45330,30
45331,43
45332,34
45333,32
45334,41
45335,38
45336,35
45337,36
45338,39
45339,31
45340,44
45341,35
45342,37
45343,32
45344,37
45345,39
45346,38
