ID,SeriousDlqin2yrs
129460,1
134018,0
86523,0
138466,0
143905,0
118893,0
124587,0
136337,0
16700,0
57857,0
15734,0
108865,1
70643,0
63937,0
45630,0
134,0
19051,1
70017,0
141425,0
54428,0
22909,0
50665,0
14452,0
25646,1
7670,1
58203,0
34957,1
12339,0
57387,1
135184,0
67705,0
88706,0
50761,0
128898,1
141806,0
26485,0
35726,0
7684,0
110249,0
93798,0
15352,0
124345,1
114161,0
134264,0
25722,1
80217,0
39434,1
148053,0
36794,1
36180,1
111180,0
109175,0
89108,0
102313,0
1237,0
115697,0
117088,0
32708,0
56470,1
32678,0
7520,0
19850,0
59381,1
72715,1
120597,0
64821,0
85756,0
87380,0
4468,1
117685,0
14303,0
137190,0
16530,0
87639,0
52576,0
51230,0
8197,1
8926,0
12082,1
36469,1
71537,0
143473,1
40512,1
142333,0
122859,0
123494,0
11783,1
93815,0
34965,0
28589,0
4382,0
103120,0
67853,1
1341,0
61792,0
133333,0
33457,0
84785,0
88130,0
44198,0
119157,0
24998,0
122763,1
121251,1
78085,0
5826,0
10776,0
149700,1
41971,1
45082,0
99466,0
105695,0
46531,0
92571,1
149280,1
9307,0
3832,1
136229,0
9749,1
22416,1
8923,0
122317,0
75316,0
90063,1
125217,0
7152,0
98829,0
7731,0
73791,0
77593,0
44064,1
97789,1
96776,0
65178,0
91449,0
99847,1
67431,0
37950,0
25116,1
125291,0
81884,1
54800,1
56112,1
101235,1
46574,0
40808,0
142283,0
51874,0
51128,0
114138,0
13547,0
6473,0
26439,0
117091,0
18597,0
94348,0
30020,0
63311,0
29567,1
137357,0
116355,0
16821,0
145830,1
94237,0
138891,0
125287,0
43538,0
18098,0
11471,0
50859,1
105579,1
1026,1
48669,0
4369,0
8675,0
30495,0
46390,0
85342,1
145455,0
84151,0
99728,0
51431,0
40461,1
74752,1
146347,0
89627,0
119495,0
5535,0
6886,0
82573,0
5856,0
112565,0
141875,0
116917,0
82648,0
61263,0
149132,0
136782,0
73326,1
36736,1
135464,0
134733,1
109407,0
80387,0
69821,0
36225,0
106353,1
23899,0
98340,0
1459,0
124570,0
125522,0
65121,0
111475,0
134388,0
136272,1
63305,0
51318,0
124790,0
137374,0
61364,1
130363,1
115501,0
126422,0
74959,1
20728,0
98840,0
86036,0
126021,1
106773,0
114366,1
38396,0
64618,1
44641,0
15441,0
70716,0
149477,0
4458,0
85932,0
96810,0
35535,1
25662,0
81621,1
50408,0
91625,0
144293,0
102549,0
126255,0
121831,0
102237,0
87682,0
1128,0
113669,0
143810,0
2537,0
32514,1
27431,1
12324,1
4255,0
120638,0
140287,0
15575,0
102682,0
66848,0
42860,0
64695,0
78618,1
125868,0
95046,1
148199,0
48429,1
103265,1
88744,0
95916,1
85231,0
59848,1
102903,1
6418,0
56585,0
16433,1
143329,0
35325,0
129113,0
20640,0
81767,0
125251,0
111116,1
78367,1
91129,0
100868,0
142892,0
54362,1
90671,0
68108,1
24347,0
64400,0
11051,0
23652,0
35741,0
106355,0
43631,1
60105,0
4167,0
139748,0
108628,1
130842,0
73121,1
144847,1
98908,0
107258,0
7310,0
66363,0
105182,0
109290,1
30480,0
117321,0
101188,0
51893,1
72716,0
133102,0
25151,0
87813,0
75161,0
69389,1
99673,0
124140,0
78958,0
93773,0
48062,1
127963,0
92341,0
51786,0
123328,0
86416,0
48391,0
7238,1
77088,1
60633,1
127141,0
83640,0
94760,1
99612,1
75729,0
74668,0
91592,0
8120,0
52033,0
91872,0
3618,0
18561,0
113602,0
140838,1
148161,0
145995,0
38762,0
11025,0
60824,0
30964,0
34568,0
44328,0
77621,1
17489,0
1449,0
111125,0
56855,1
21162,1
21765,1
70454,0
141564,0
122653,0
81969,0
6623,1
13636,1
35440,1
427,0
91482,0
16494,0
9668,0
25314,0
6527,0
113696,0
120716,0
123407,0
6045,0
102619,0
89593,1
146461,0
144504,1
33304,0
38522,0
35919,0
12916,0
64933,1
65146,0
20257,1
13337,0
49821,0
35035,0
52244,1
61391,0
59255,1
82951,0
77312,0
121599,0
73110,0
63200,1
148328,1
134738,1
12550,0
36966,0
117478,0
7824,0
18671,0
12238,0
113183,0
138486,0
135525,0
89449,0
74982,0
82665,0
148908,1
110931,0
135483,0
74838,1
113813,1
74545,1
98377,1
4788,1
17861,0
48878,0
33410,0
31696,1
114449,1
25788,0
141779,0
94354,1
20374,1
35587,0
53581,1
96356,0
55729,1
127598,0
23760,0
75498,1
18516,0
47209,1
20941,0
48549,0
59387,1
119215,0
72253,0
49924,1
123466,0
95055,1
111457,1
73306,1
99154,0
8249,0
47007,0
22760,1
141212,1
121061,0
1847,0
17047,0
79153,1
97307,0
112605,0
6181,0
133193,0
48299,1
11793,1
23345,0
109678,0
64100,0
95271,1
145753,0
139739,0
35141,0
73076,0
27110,0
103760,0
13277,0
135351,1
77959,0
58411,0
2346,1
145711,0
41475,0
102443,0
43839,0
126788,1
83174,0
7137,0
43256,0
112876,1
31034,0
73489,0
102108,1
136720,0
10254,0
122083,0
94683,1
84309,1
117684,0
112563,1
135195,0
43633,0
51680,1
112812,0
86540,0
27185,1
53039,0
99611,0
41063,1
85471,0
147094,0
90426,1
54757,0
38420,1
12487,0
105351,0
104084,0
17085,1
126312,0
102967,0
128155,0
55487,0
88489,0
6709,0
89488,0
131366,0
12182,0
42157,0
42217,0
77996,0
131091,1
39249,0
139367,0
35382,0
102884,0
98592,0
123498,0
42488,1
8456,0
12376,1
20160,0
143667,0
34949,1
69311,1
925,0
46791,0
105258,0
91884,0
143763,0
61288,0
593,1
96955,0
586,1
105685,0
133222,0
43007,0
139305,0
18039,0
123467,0
11926,0
80773,0
128641,0
55471,1
59906,0
11618,0
76625,0
54513,0
25,0
50313,1
34392,0
12352,0
130790,0
71456,0
96489,0
143716,1
65981,0
44623,1
7090,0
54529,0
6828,0
13041,0
62859,1
50776,0
64691,0
2199,0
137673,0
89207,0
105396,0
142822,1
36342,0
141229,0
20865,1
63103,0
127171,0
147415,0
2609,0
87431,1
30198,0
120106,0
32624,1
117518,0
72635,0
90577,0
147026,0
80409,0
29527,0
39508,0
93356,0
135632,0
74943,1
15901,0
105736,0
109997,0
135992,0
45338,0
40378,0
665,0
88437,1
76725,0
123116,1
85368,0
84690,0
46676,0
54508,0
93955,0
77643,0
51437,0
127979,1
25657,0
140235,0
95338,0
1875,0
130512,1
2571,0
85190,0
29457,0
5568,0
86254,0
54648,0
129206,0
104110,0
39494,0
57902,0
68427,0
38400,0
3883,0
142771,0
55990,0
78096,1
12912,0
92595,0
53932,0
45230,0
118114,0
47423,1
89140,0
92399,0
119365,0
76687,0
22190,0
86718,1
9496,0
88274,0
24257,1
97855,1
8281,0
87054,1
58992,1
143668,0
31299,0
128261,0
72600,1
8261,1
14154,0
88436,0
27341,0
5777,0
43744,0
112185,0
112617,0
122746,0
24340,0
15454,1
40373,0
143481,0
145510,1
52794,0
51756,1
43659,0
73080,0
121173,1
135585,0
2529,0
85078,1
48482,0
10257,0
81914,1
118064,0
6652,0
64409,0
4841,1
24127,1
26718,1
46837,0
114324,0
10474,1
146272,1
79908,0
37045,1
7514,1
82634,0
92013,0
68976,1
94610,0
113007,1
147673,1
125461,0
140026,0
37445,1
114852,0
54658,0
13730,0
105148,0
22634,0
72969,1
62925,1
7169,1
129731,0
99956,0
92641,0
46818,1
141585,0
112627,0
140649,0
147758,0
149293,1
9266,0
79482,1
136635,0
33484,0
38550,0
116623,1
59604,0
147900,1
7364,1
10664,0
81907,0
101494,0
34656,0
121914,0
35620,0
2077,0
6999,0
99650,0
35249,1
143554,0
56590,0
107370,0
107955,0
134084,0
137705,0
11151,0
126493,0
61634,0
116738,1
55529,0
32994,0
49612,0
108957,0
149267,0
39960,0
92885,0
65163,1
100801,0
75565,0
145941,0
102703,0
45289,0
148503,0
140967,1
103697,0
137994,0
93893,0
97046,0
101179,0
18289,1
130977,0
50578,1
143285,0
37524,0
127374,0
138662,0
121600,0
58155,1
77293,0
23378,1
39306,0
132940,0
22447,0
7919,1
53020,1
109432,1
102224,0
123168,0
136126,0
52377,0
141914,0
45984,1
123148,1
6563,0
75587,1
136909,0
17192,0
61257,0
76953,0
98451,1
4986,0
33014,0
96926,0
119729,0
43980,0
54936,0
25949,1
72570,0
18256,0
22395,0
67897,1
104127,0
38317,0
26577,0
20614,0
139028,1
873,0
82352,0
144891,0
98746,0
113045,0
115343,1
137543,0
1384,1
76731,0
9803,1
55819,0
32604,0
113131,0
70927,0
71871,0
131170,0
76114,1
124618,0
21894,0
20736,0
45674,0
37725,0
29124,0
67238,0
66789,0
141080,0
77062,0
69137,0
25884,0
16967,0
122210,1
49937,0
139448,1
64832,0
132168,1
106882,0
102342,0
70472,0
112628,0
4099,0
43654,0
80619,0
131822,0
29775,0
53522,0
4456,0
65532,0
35652,0
61878,0
39905,0
62644,1
34939,0
132336,1
101148,0
60936,1
48219,0
142563,0
99957,0
138821,0
81033,1
50548,0
136338,0
68945,0
2921,0
141083,1
105928,0
123434,1
135418,1
86652,0
10610,0
135356,0
70305,1
26686,1
80893,0
19391,1
148029,0
56916,1
94082,0
4381,0
140174,0
60991,0
31875,1
67911,1
98299,0
54971,0
104206,0
99147,0
117544,0
44187,0
141653,0
86096,1
31425,1
100551,0
58916,1
26238,0
145759,0
54006,0
104259,0
131909,1
113534,0
9943,0
21181,0
145016,0
127025,0
99705,0
86047,0
88629,1
92265,0
113545,0
20546,0
95405,0
128014,0
49303,0
144046,1
49113,1
8208,1
56025,0
46908,0
69072,0
146175,0
112217,1
8345,0
109095,0
123413,0
40892,0
31882,0
105867,0
43537,0
113870,0
14437,0
130734,0
10688,0
121883,0
63319,0
9198,0
16492,0
111238,0
115451,0
129979,0
143736,0
6825,0
43900,0
99907,1
6470,0
82638,0
48594,0
71365,0
143156,0
27129,1
5844,0
114058,0
66770,0
131615,0
10831,1
33210,0
56647,1
56595,0
49282,0
13210,0
34510,0
73472,0
144055,0
382,0
99295,0
102303,0
127922,0
80224,1
91709,1
127239,0
26509,1
26265,0
32949,0
68808,0
83057,0
147660,0
129504,0
31202,0
62107,1
81152,0
12374,1
4876,0
103514,0
127423,0
44579,0
18966,0
113082,0
30842,1
78181,0
130303,0
66575,0
24696,1
109062,0
42295,0
92569,0
129879,1
36463,0
35050,0
1890,0
142991,1
77078,0
80319,0
34425,0
3313,1
20954,0
100740,0
54640,0
7552,0
88077,0
65628,1
109058,0
116904,0
60460,0
126832,1
121179,0
126124,1
17543,0
128335,0
102749,0
146368,0
62823,0
63351,0
53935,0
66566,0
109354,1
107017,0
98259,0
87478,0
60065,1
140742,1
103799,0
146260,1
103513,1
100217,0
137693,1
125109,0
116659,0
92264,0
49682,1
45478,0
146534,0
46841,0
1902,0
19256,0
112803,0
64962,0
53699,0
48422,1
47888,1
78121,0
32747,0
113412,0
70704,0
23811,0
88127,1
12291,0
105907,0
28737,1
70802,0
121452,0
137568,0
100559,0
68286,1
11201,0
104280,0
2897,0
144925,1
66859,0
90795,0
32475,0
46401,0
63784,0
128858,0
140111,0
93304,0
31465,0
73905,0
4454,0
92053,0
89394,0
115515,1
62531,1
137009,1
145983,1
120780,0
9995,0
60914,1
114141,0
12521,0
57125,0
62593,0
95005,0
136180,1
144437,0
149597,0
109383,0
104081,0
112938,1
123473,0
50091,0
6667,0
130011,0
61963,0
117451,0
78661,0
84345,1
72437,0
37611,0
27006,0
908,1
102897,1
41643,0
91003,0
38276,0
78596,0
74871,0
86318,1
144828,0
64360,0
29072,0
80777,1
74472,0
65228,0
97386,0
65529,0
5157,0
47603,1
2448,1
143799,1
60750,0
29710,1
96785,0
16464,0
136223,0
129575,0
132489,0
68189,0
146693,0
9142,0
120414,0
37557,0
85301,1
60925,0
72276,0
52317,0
49992,0
72116,0
66665,1
98718,1
144015,0
75650,0
95321,0
61142,0
38488,0
54155,0
107359,0
48087,0
36891,1
99629,1
96525,0
121624,0
73384,0
6784,0
6018,0
45211,0
64793,0
140216,0
19064,1
92313,0
101547,0
80304,1
96646,1
131573,1
146242,0
18432,1
57955,0
40963,0
68955,0
18680,1
66482,1
6002,0
21041,1
85067,1
13188,0
43459,0
142775,1
124257,0
17118,0
7886,0
143775,0
149583,1
126660,0
122612,0
18448,1
90582,0
119290,0
133428,0
18535,0
78669,0
117680,0
148078,0
123550,1
7382,0
98817,1
126157,0
114688,0
89106,0
53508,0
34532,0
84180,0
109104,0
40698,0
69069,0
45100,0
8368,1
43902,1
141385,0
95083,0
86926,1
57638,1
28601,1
137704,0
22944,0
16261,0
118917,0
38061,1
18126,0
42624,0
146931,1
148404,0
119147,1
56327,0
132179,0
85911,0
62789,1
27144,1
62082,0
3071,0
86794,0
49725,0
36230,0
27217,0
70929,0
54319,0
35439,0
87282,0
83096,0
80615,0
36448,0
32199,0
84794,0
782,0
37474,0
40622,0
106912,0
143396,0
141638,0
76994,0
22656,0
134658,1
78404,0
96478,0
57510,0
23137,0
146550,0
129254,0
53318,0
14211,0
23226,0
98512,0
111847,1
149402,1
56584,0
136550,1
47283,0
115959,0
145260,0
70692,0
55241,0
81379,0
84758,0
113525,1
142842,1
96063,0
84926,0
31259,0
107488,0
26559,1
31194,0
96445,0
21817,0
149111,0
100144,0
110892,0
76658,1
10341,0
127652,0
109411,0
60913,0
115625,0
77680,0
2676,1
86498,0
61002,0
86680,0
138680,1
56945,0
5148,0
50492,0
76828,0
123454,0
82202,1
59898,1
9529,0
54904,0
143552,0
128478,0
39257,1
5537,1
28997,0
146413,0
7785,1
9366,0
72057,1
101770,0
6803,0
106549,1
104609,0
75744,0
50042,1
28264,0
32982,0
117479,0
30784,0
70882,1
91130,0
91829,0
142262,1
144801,1
89034,0
137299,0
104539,0
86287,0
6759,0
7835,0
118896,0
111602,1
60817,0
116499,1
30133,1
63730,0
37354,0
144166,1
69407,0
128331,0
60087,0
86707,0
130682,0
3659,0
56370,0
21787,0
22585,0
99442,0
42561,0
6328,0
64542,0
7452,0
27936,1
89555,0
73365,0
24466,0
55459,0
112991,0
44703,0
32750,0
123094,0
63444,0
40321,0
48563,0
64012,0
77746,1
127061,1
94554,0
113843,0
58198,0
130371,0
25062,0
124737,0
39015,0
48503,1
37237,1
68150,0
61740,0
41409,0
73229,0
42457,0
50375,0
16324,0
129094,1
115274,0
67917,0
134360,0
120636,0
138687,0
138532,1
47448,0
80883,1
43669,0
79753,1
131664,0
30925,0
102837,0
112779,0
119319,1
49486,0
129948,1
120698,0
139163,0
125840,1
32300,0
32437,0
88062,1
53126,0
22073,1
104840,0
115233,0
23423,0
130591,0
62368,0
37017,1
80559,1
15692,0
87034,0
41846,0
126499,0
25908,0
27522,0
141338,0
133486,1
139475,0
36635,0
147826,0
72592,1
62328,1
103269,0
59334,1
31287,0
102676,0
95677,0
59963,1
57999,0
83830,0
122849,0
76103,0
123164,1
113488,0
11081,0
51386,1
111975,0
145973,0
23873,1
98059,1
79861,0
83181,0
79324,1
142011,1
67733,1
102684,0
91281,1
72990,0
70240,0
48179,0
53398,0
126256,0
112332,0
141584,0
92987,0
75739,1
114437,0
35509,1
86623,0
102486,0
72155,0
78303,1
5811,0
56868,0
146296,1
106805,0
121828,1
56988,0
78664,0
129096,0
67335,1
58408,0
20540,0
107072,1
130402,0
86779,0
93703,0
107809,0
56439,0
56163,0
131399,0
137103,0
122335,0
54499,0
87312,0
145011,0
37587,0
42974,0
141615,0
75524,0
16339,1
68933,1
89498,0
108112,0
60715,0
149189,1
46965,0
112575,0
24074,1
80302,0
14409,0
131522,0
61930,0
107011,0
33788,0
85457,1
43427,0
129918,0
30673,1
33168,0
105567,0
143528,0
128452,1
47104,0
9259,0
128355,0
141093,0
81629,1
101008,0
97410,0
54975,1
144017,1
98388,0
83382,1
141275,0
35545,0
125788,1
110657,0
84295,0
121222,0
14765,0
33367,0
74537,0
128877,0
93105,0
136286,1
82849,0
119144,0
42762,1
144883,0
34075,0
136978,0
8220,0
4838,1
1351,0
9908,1
97553,0
102266,0
83844,0
109309,0
67108,0
69770,1
149636,1
130186,0
52634,0
117774,0
118106,0
92604,0
28969,0
129735,0
78006,0
65560,1
130600,0
112997,0
125591,0
47438,0
84212,0
81012,1
16141,0
92533,1
58972,0
43909,0
100905,0
20505,0
135225,1
111485,0
147831,0
104522,0
59662,0
61384,0
102722,1
98742,0
111599,0
74578,0
122055,0
32787,0
117426,0
126427,0
58178,0
44985,0
127745,0
103455,1
143663,0
21433,0
20395,0
130393,1
145423,1
4978,0
31966,0
143991,0
55564,1
65567,0
109922,1
148822,0
74850,0
149014,0
77478,0
36530,0
138052,0
43013,1
99952,0
3592,0
29093,1
147856,0
132359,0
135832,0
76030,0
26066,0
78902,1
112140,0
20460,0
124674,0
35753,0
29127,0
75735,0
34952,1
22667,0
130634,0
69555,1
107345,1
54138,0
106659,0
15676,1
42236,1
127632,0
139400,0
44264,0
3663,0
44986,0
84554,0
73892,1
114412,0
86812,1
66704,0
84042,0
65985,0
116896,0
57956,0
110412,0
4779,0
93643,0
105224,0
141648,0
121991,0
84738,0
125883,0
118306,0
38540,0
135962,0
146643,0
98021,0
120815,0
60949,0
136874,0
67206,0
93570,0
15082,0
139718,0
146840,1
79101,0
148003,0
108844,0
148349,0
80947,1
148082,0
49799,0
66583,1
44139,1
84711,0
3608,0
15461,1
40758,0
123815,0
43210,1
148267,1
60524,1
69201,0
73218,0
85382,0
119189,0
102653,0
2037,0
64097,1
65670,1
130029,0
103344,0
19989,0
84280,0
106714,1
127616,0
121388,1
42791,0
105456,1
128400,0
137320,0
125725,0
37810,0
44813,0
146812,0
121701,1
79039,0
75357,0
45124,0
21160,0
1397,0
147449,0
66491,1
82666,1
110533,0
67270,1
21321,0
7494,0
63732,0
44042,0
49908,1
79493,1
45443,0
26841,1
103907,0
97887,0
29109,0
48323,1
10212,0
118442,0
71521,0
61975,1
66977,1
121231,0
3043,1
11910,0
123298,0
12959,0
145670,0
145792,0
124568,0
49528,0
147825,0
140843,0
107961,0
19095,1
28829,1
113649,0
124997,0
27771,0
144897,0
91905,0
27546,1
78637,0
55712,0
144126,0
28005,0
20782,1
93761,0
66022,0
69664,0
105344,0
40652,1
46009,0
67674,1
137148,0
98395,1
123997,0
132209,0
28919,1
59317,1
77303,0
28230,0
119916,1
63476,0
118683,0
112576,0
65889,0
131185,0
42425,0
119654,0
143385,0
2471,0
79001,0
86370,0
88724,1
68395,0
112962,0
128149,0
82824,0
24507,0
89033,0
81432,0
48019,0
56822,1
86262,0
113967,0
97631,0
41175,0
94454,0
62612,1
98011,1
97550,0
140985,0
2848,0
33204,0
29487,0
94470,0
98694,1
31914,1
96164,0
139492,0
122469,1
130973,0
31617,0
29235,0
107984,0
20762,0
6170,0
38870,0
90021,1
138503,0
74491,0
144918,0
2793,0
69325,0
59980,0
128197,1
77966,0
140999,0
19457,0
144903,0
54818,0
19828,0
72046,1
103929,0
41546,0
76419,0
52046,0
58950,0
114879,0
68803,1
76295,0
114500,1
41677,1
62990,0
125036,0
23763,0
14457,1
112446,0
14014,0
24846,1
114379,0
33223,0
32964,0
68211,0
58335,0
53924,0
7971,0
107478,0
22893,0
16999,1
27330,0
78594,1
104070,0
43194,0
64515,0
10132,0
57023,1
24131,0
144319,1
18781,0
65699,0
95740,1
109056,0
130520,0
98379,0
140080,0
78025,1
28031,0
141799,0
73818,0
98886,0
56644,0
98397,0
69192,0
147687,0
12859,1
90166,1
71090,0
132229,1
147433,0
